 Variables , 1990 , 1991 , 1992 , 1993 , 1994 , 1995 , 1996 , 1997 , 1998 , 1999 , 2000 , 2001 , 2002 , 2003 , 2004 , 2005 , 2006 , 2007 , 2008 , 2009 , 2010 , 2011 , 2012 , 2013 , 2014 , 2015 , 2016 , 2017 , 2018 ,
     35 - 39 Years , 68.4 , 69.4 , 74 , 77.2 , 81.9 , 82.6 , 88.8 , 86.8 , 92.2 , 87.6 , 89.5 , 97.7 , 95.5 , 97.3 , 97.1 , 102.4 , 103.6 , 103.6 , 115.1 , 120.7 , 121.5 , 120 , 121.2 , 119 , 116.7 , 127.1 , 118.8 , 129.3 , 128.6 ,
     40 - 44 Years , 53.1 , 60.6 , 62.7 , 65.4 , 65.6 , 68.8 , 76.5 , 80.6 , 87.8 , 86.7 , 85.2 , 93.6 , 92.1 , 92.9 , 97.1 , 97.2 , 106 , 104.7 , 108.3 , 106.1 , 108.4 , 113.3 , 118.1 , 118.9 , 119.6 , 124.9 , 124.4 , 125.2 , 127.3 ,
     45 - 49 Years , 28.6 , 32.7 , 36.9 , 42.4 , 46.5 , 53.6 , 61.2 , 65.4 , 68.4 , 72 , 69 , 77.6 , 80.1 , 81.4 , 87.6 , 87.8 , 101.9 , 103.1 , 103.6 , 103.1 , 109.3 , 111.2 , 114.8 , 112.6 , 109.9 , 113.6 , 115.9 , 122.2 , 122.2 ,
     50 - 54 Years , 20.6 , 22.8 , 26.5 , 26 , 27.4 , 24.7 , 27.8 , 33.9 , 39.3 , 42.3 , 45.6 , 54.7 , 56.6 , 62.3 , 62.1 , 65.1 , 77.2 , 82 , 87.5 , 89.8 , 95.5 , 99.7 , 100.5 , 105.1 , 111.6 , 109.6 , 110.9 , 105.1 , 110.7 ,
     55 - 59 Years , 11.2 , 11 , 11.9 , 13.7 , 15.8 , 15.8 , 18.2 , 18.4 , 19.8 , 20.7 , 18.6 , 22.7 , 28.6 , 29.8 , 36.7 , 37.8 , 47.5 , 50.4 , 52.5 , 54.4 , 65.7 , 72.2 , 74 , 80.8 , 89.6 , 89.9 , 92 , 85 , 89.1 ,
     60 - 64 Years , 5.8 , 5.5 , 5.8 , 5 , 6.1 , 5.7 , 7 , 7.6 , 7.2 , 10.8 , 8.8 , 11.5 , 12.1 , 12.7 , 11.9 , 12.2 , 16.9 , 21 , 25.8 , 29.6 , 34.2 , 38.9 , 44.1 , 49.3 , 54.2 , 57.9 , 61.8 , 64.8 , 68.2 ,
     65 Years & Over , 5.6 , 3.6 , 4.1 , 3.7 , 4.8 , 4.5 , 5.8 , 5.9 , 5.5 , 6 , 5.4 , 6.8 , 6.4 , 7.7 , 7.9 , 8 , 14.3 , 14 , 15.7 , 17.2 , 19.2 , 24.3 , 28.8 , 33.2 , 41.2 , 43.9 , 47.8 , 53.2 , 55.5 ,
 Female Unemployed Residents , 8.2 , 10.7 , 15.9 , 16.9 , 17.4 , 18.3 , 19.8 , 15.7 , 22.6 , 33.3 , 41.7 , 26.2 , 39 , 43.4 , 44.5 , 47.3 , 39.5 , 34.8 , 36.6 , 55.8 , 39.4 , 39.6 , 39.5 , 41.9 , 40.2 , 40.2 , 46.2 , 45.1 , 42.7 ,
     15 - 19 Years , 1.5 , 1.9 , 2.7 , 2.6 , 2.3 , 2.1 , 2.1 , 1.1 , 1.7 , 2.9 , 2.9 , 3.1 , 2.1 , 1.7 , 2.5 , 2.6 , 2.4 , 2.1 , 2.2 , 3.3 , 3 , 2.4 , 2 , 1.6 , 1.5 , 2.1 , 2.2 , 1.8 , 1.8 ,
     20 - 24 Years , 2.5 , 3 , 6.1 , 6.6 , 7 , 5.7 , 6.9 , 5.1 , 7.2 , 8.4 , 6.1 , 5.6 , 9.9 , 9.8 , 9.8 , 6.7 , 7.7 , 7.1 , 8.3 , 10.2 , 8.5 , 8.7 , 9.2 , 9.8 , 8.9 , 8.8 , 9.4 , 10.2 , 8.9 ,
