,Ciutat Vella,Eixample,Gràcia,Horta-Guinardó,Les Corts,Nou Barris,Sant Andreu,Sant Martí,Sants-Montjuïc,Sarrià-Sant Gervasi
Population,102250.0,267184.0,121566.0,169187.0,82201.0,166805.0,147693.0,236163.0,182354.0,149734.0
Avg Households Income Pc b=100,89.07499999999999,122.63333333333337,103.9,82.52727272727272,161.0,51.44615384615384,70.37142857142858,96.7,79.05,179.13333333333333
Year,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0
