"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nombre"
2016,1,"Ciutat Vella",1,"el Raval","Home",25840
2016,1,"Ciutat Vella",2,"el Barri Gòtic","Home",8162
2016,1,"Ciutat Vella",3,"la Barceloneta","Home",7521
2016,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home",11136
2016,2,"Eixample",5,"el Fort Pienc","Home",14933
2016,2,"Eixample",6,"la Sagrada Família","Home",23486
2016,2,"Eixample",7,"la Dreta de l'Eixample","Home",20219
2016,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home",19378
2016,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home",26767
2016,2,"Eixample",10,"Sant Antoni","Home",18077
2016,3,"Sants-Montjuïc",11,"el Poble Sec","Home",19788
2016,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home",581
2016,3,"Sants-Montjuïc",13,"la Marina de Port","Home",14664
2016,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home",4867
2016,3,"Sants-Montjuïc",15,"Hostafrancs","Home",7627
2016,3,"Sants-Montjuïc",16,"la Bordeta","Home",8713
2016,3,"Sants-Montjuïc",17,"Sants - Badal","Home",11171
2016,3,"Sants-Montjuïc",18,"Sants","Home",19215
2016,4,"Les Corts",19,"les Corts","Home",21409
2016,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home",11142
2016,4,"Les Corts",21,"Pedralbes","Home",5552
2016,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home",2285
2016,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home",11547
2016,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home",7650
2016,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home",11863
2016,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home",21265
2016,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home",13309
2016,6,"Gràcia",28,"Vallcarca i els Penitents","Home",7182
2016,6,"Gràcia",29,"el Coll","Home",3462
2016,6,"Gràcia",30,"la Salut","Home",6034
2016,6,"Gràcia",31,"la Vila de Gràcia","Home",23068
2016,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home",15650
2016,7,"Horta-Guinardó",33,"el Baix Guinardó","Home",11809
2016,7,"Horta-Guinardó",34,"Can Baró","Home",4239
2016,7,"Horta-Guinardó",35,"el Guinardó","Home",16824
2016,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home",4472
2016,7,"Horta-Guinardó",37,"el Carmel","Home",15017
2016,7,"Horta-Guinardó",38,"la Teixonera","Home",5465
2016,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home",3181
2016,7,"Horta-Guinardó",40,"Montbau","Home",2271
2016,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home",2694
2016,7,"Horta-Guinardó",42,"la Clota","Home",308
2016,7,"Horta-Guinardó",43,"Horta","Home",12528
2016,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home",11742
2016,8,"Nou Barris",45,"Porta","Home",11492
2016,8,"Nou Barris",46,"el Turó de la Peira","Home",7109
2016,8,"Nou Barris",47,"Can Peguera","Home",1045
2016,8,"Nou Barris",48,"la Guineueta","Home",7001
2016,8,"Nou Barris",49,"Canyelles","Home",3318
2016,8,"Nou Barris",50,"les Roquetes","Home",7452
2016,8,"Nou Barris",51,"Verdun","Home",5687
2016,8,"Nou Barris",52,"la Prosperitat","Home",12385
2016,8,"Nou Barris",53,"la Trinitat Nova","Home",3461
2016,8,"Nou Barris",54,"Torre Baró","Home",1396
2016,8,"Nou Barris",55,"Ciutat Meridiana","Home",4962
2016,8,"Nou Barris",56,"Vallbona","Home",659
2016,9,"Sant Andreu",57,"la Trinitat Vella","Home",5207
2016,9,"Sant Andreu",58,"Baró de Viver","Home",1230
2016,9,"Sant Andreu",59,"el Bon Pastor","Home",6297
2016,9,"Sant Andreu",60,"Sant Andreu","Home",26731
2016,9,"Sant Andreu",61,"la Sagrera","Home",13438
2016,9,"Sant Andreu",62,"el Congrés i els Indians","Home",6397
2016,9,"Sant Andreu",63,"Navas","Home",10316
2016,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Home",17884
2016,10,"Sant Martí",65,"el Clot","Home",12911
2016,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Home",7179
