"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nombre"
2015,1,"Ciutat Vella",1,"el Raval","Home",26130
2015,1,"Ciutat Vella",2,"el Barri Gòtic","Home",7958
2015,1,"Ciutat Vella",3,"la Barceloneta","Home",7492
2015,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home",11150
2015,2,"Eixample",5,"el Fort Pienc","Home",14886
2015,2,"Eixample",6,"la Sagrada Família","Home",23544
2015,2,"Eixample",7,"la Dreta de l'Eixample","Home",20018
2015,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home",19330
2015,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home",26765
2015,2,"Eixample",10,"Sant Antoni","Home",18084
2015,3,"Sants-Montjuïc",11,"el Poble Sec","Home",19852
2015,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home",578
2015,3,"Sants-Montjuïc",13,"la Marina de Port","Home",14657
2015,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home",4869
2015,3,"Sants-Montjuïc",15,"Hostafrancs","Home",7578
2015,3,"Sants-Montjuïc",16,"la Bordeta","Home",8725
2015,3,"Sants-Montjuïc",17,"Sants - Badal","Home",11274
2015,3,"Sants-Montjuïc",18,"Sants","Home",19317
2015,4,"Les Corts",19,"les Corts","Home",21417
2015,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home",11123
2015,4,"Les Corts",21,"Pedralbes","Home",5481
2015,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home",2272
2015,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home",11462
2015,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home",7760
2015,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home",11741
2015,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home",21180
2015,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home",13257
2015,6,"Gràcia",28,"Vallcarca i els Penitents","Home",7223
2015,6,"Gràcia",29,"el Coll","Home",3434
2015,6,"Gràcia",30,"la Salut","Home",6071
2015,6,"Gràcia",31,"la Vila de Gràcia","Home",23010
2015,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home",15596
2015,7,"Horta-Guinardó",33,"el Baix Guinardó","Home",11740
2015,7,"Horta-Guinardó",34,"Can Baró","Home",4235
2015,7,"Horta-Guinardó",35,"el Guinardó","Home",16774
2015,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home",4491
2015,7,"Horta-Guinardó",37,"el Carmel","Home",15081
2015,7,"Horta-Guinardó",38,"la Teixonera","Home",5491
2015,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home",3123
2015,7,"Horta-Guinardó",40,"Montbau","Home",2253
2015,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home",2649
2015,7,"Horta-Guinardó",42,"la Clota","Home",293
2015,7,"Horta-Guinardó",43,"Horta","Home",12530
2015,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home",11710
2015,8,"Nou Barris",45,"Porta","Home",11520
2015,8,"Nou Barris",46,"el Turó de la Peira","Home",7106
2015,8,"Nou Barris",47,"Can Peguera","Home",1084
2015,8,"Nou Barris",48,"la Guineueta","Home",7003
2015,8,"Nou Barris",49,"Canyelles","Home",3325
2015,8,"Nou Barris",50,"les Roquetes","Home",7489
2015,8,"Nou Barris",51,"Verdun","Home",5674
2015,8,"Nou Barris",52,"la Prosperitat","Home",12433
2015,8,"Nou Barris",53,"la Trinitat Nova","Home",3517
2015,8,"Nou Barris",54,"Torre Baró","Home",1415
2015,8,"Nou Barris",55,"Ciutat Meridiana","Home",5058
2015,8,"Nou Barris",56,"Vallbona","Home",666
2015,9,"Sant Andreu",57,"la Trinitat Vella","Home",5324
2015,9,"Sant Andreu",58,"Baró de Viver","Home",1215
