"Quadro IV.2 >> Deslocações/dia por pessoa móvel, por meio de transporte principal e por município de residência",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Unidade: N.º,,,,Índice,,,
Meio transp.,Total,Automóvel - condutor,Automóvel - passageiro,Motociclo ou ciclomotor,,Táxi - passageiro,,Autocarro - transp. público,Autocarro - tr. escolar/ empresa,Comboio,,Metropo- litano,Barco,,Avião,,A pé,Bicicleta,,Outro,,,,,,,
Municípios,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
AML,2.60,1.20,0.34,0.02,,0.01,,0.20,0.02,0.08,,0.08,0.01,,0.00,,0.60,0.01,,0.02,,,,,,,
Alcochete,2.74,1.38,0.48,0.01,§,,x,0.18,0.06,0.01,§,0.04,0.02,,,x,0.50,0.04,,0.02,,,,,,,
Almada,2.54,1.14,0.32,0.02,,0.00,,0.26,0.01,0.06,,0.12,0.02,,0.00,§,0.53,0.01,,0.05,,,,,,,
Amadora,2.83,1.09,0.35,0.01,,0.01,,0.24,0.01,0.11,,0.15,,x,,x,0.85,0.01,,0.01,,,,,,,
Barreiro,2.53,1.09,0.34,0.00,§,,x,0.18,0.04,0.03,,0.08,0.12,,,x,0.61,0.01,§,0.00,,,,,,,
Cascais,2.70,1.54,0.36,0.05,,0.00,§,0.12,0.01,0.12,,0.02,,x,0.00,§,0.42,0.04,,0.01,,,,,,,
Lisboa,2.60,0.87,0.30,0.03,,0.03,,0.31,0.01,0.03,,0.20,0.00,,0.00,,0.77,0.02,,0.03,,,,,,,
Loures,2.62,1.22,0.38,0.02,,0.01,,0.33,0.04,0.03,,0.08,,x,0.00,§,0.48,0.01,,0.03,,,,,,,
Mafra,2.60,1.57,0.44,0.03,,,x,0.11,0.06,,x,0.01,,x,0.00,§,0.30,0.00,,0.07,,,,,,,
Moita,2.43,0.91,0.33,0.02,§,0.02,§,0.12,0.06,0.09,,0.02,0.04,,,x,0.81,0.01,§,0.00,,,,,,,
Montijo,2.70,1.38,0.41,0.00,,,x,0.05,0.08,0.01,§,0.02,0.06,,,x,0.63,0.03,,0.01,,,,,,,
Odivelas,2.51,1.07,0.34,0.02,,0.00,,0.28,0.03,0.01,,0.17,,x,,x,0.58,0.00,§,0.01,,,,,,,
Oeiras,2.69,1.40,0.34,0.04,,0.01,,0.22,0.01,0.10,,0.03,,x,0.00,§,0.53,0.01,,0.01,,,,,,,
Palmela,2.69,1.42,0.46,0.02,,,x,0.13,0.05,0.08,,0.01,0.02,,0.00,§,0.46,0.03,,0.01,,,,,,,
Seixal,2.48,1.18,0.30,0.01,,0.01,,0.12,0.05,0.15,,0.04,0.01,,,x,0.56,0.02,,0.02,,,,,,,
Sesimbra,2.72,1.57,0.34,0.07,,,,0.06,0.03,0.06,,0.01,0.00,§,,x,0.54,0.01,,0.02,,,,,,,
Setúbal,2.88,1.49,0.42,0.01,,0.00,§,0.09,0.05,0.05,,0.00,0.01,,0.01,§,0.72,0.01,,0.04,,,,,,,
Sintra,2.48,1.26,0.31,0.03,,0.01,,0.15,0.01,0.19,,0.01,,x,0.00,§,0.48,0.01,,0.01,,,,,,,
Vila Franca de Xira,2.44,1.16,0.26,0.01,,,x,0.14,0.03,0.13,,0.02,,x,,x,0.66,0.01,,0.02,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
