car_driver,2475191.73,2381648.35,88253.78,5289.61,,,,
car_pass,697820.74,671130.21,23897.16,2793.38,,,,
motorbike,47330.20,46737.23,578.20,14.77,,,,
taxi,19219.94,18223.16,958.53,38.26,,,,
public_bus,420837.65,232869.94,110466.85,77500.86,,,,
private_bus,51387.95,45063.97,4220.71,2103.28,,,,
Train,173668.77,30704.62,53929.71,89034.43,,,,
metro,166826.93,82242.73,60236.34,24347.85,,,,
boat,16564.01,1424.51,3002.83,12136.66,,,,
bike,26186.88,24259.93,1874.96,51.99,,,,
