MUN,avg_dist
AML,11.0
Alcochete,15.2
Almada,11.7
Amadora,9.5
Barreiro,13.0
Cascais,12.3
Lisboa,9.0
Loures,9.9
Mafra,13.4
Moita,11.6
Montijo,11.8
Odivelas,8.7
Oeiras,12.0
Palmela,12.4
Seixal,13.0
Sesimbra,12.2
Set�bal,9.9
Sintra,12.3
Vila Franca de Xira,11.5
