BARCELONA;6,4
1. Ciutat Vella;5,2
2. Eixample;6,9
3. Sants-Montjuïc;6,2
4. Les Corts;7,3
5. Sarrià-Sant Gervasi;6,8
6. Gràcia;7,0
7. Horta-Guinardó;6,3
8. Nou Barris;5,9
9. Sant Andreu;6,3
10. Sant Martí;6,1
